diretorio,energia_eV
Ag2_paw_pbe_500eV_gam_otm_OK,-2.17891275
Ag4_paw_pbe_500eV_gam_otm_OK,-5.44983020
Ag6_paw_pbe_500eV_gam_otm_OK,-9.84106261
Cd2_paw_pbe_500eV_gam_otm_OK,-0.08957996
Cd4_paw_pbe_500eV_gam_otm_OK,-0.68721828
Cd6_paw_pbe_500eV_gam_otm_OK,-1.08958108
Cu2_paw_pbe_500eV_gam_otm_OK,-2.75869900
Cu4_paw_pbe_500eV_gam_otm_OK,-7.36884657
Cu6_paw_pbe_500eV_gam_otm_OK,-13.01015193
Pd2_paw_pbe_500eV_gam_otm_OK,-4.27938623
Pd4_paw_pbe_500eV_gam_otm_OK,-12.70283553
Pd6_paw_pbe_500eV_gam_otm_OK,-20.69211574
Rh2_paw_pbe_500eV_gam_otm_OK,-6.37412385
Rh4_paw_pbe_500eV_gam_otm_OK,-16.94653870
Rh6_paw_pbe_500eV_gam_otm_OK,-28.16514064
Ru2_paw_pbe_500eV_gam_otm_OK,-8.15814354
Ru4_paw_pbe_500eV_gam_otm_OK,-20.79605031
Ru6_paw_pbe_500eV_gam_otm_OK,-35.14394705
